fork_height,diff,winner_timestamp,loser_timestamp,next_block_timestamp,number of peers that have announced first block before the first reception of the second block,winner_id,loser_id,next_block_id
365357,-1456,1436929185567,1436929187023,1436929513627,-2,BitFury,21 Inc.,KnCMiner
365474,-2496,1436988360822,1436988363318,1436988525431,-17,F2Pool,Telco 214,KnCMiner
365570,-28365,1437053371717,1437053400082,1437054583430,-31,BitFury,BW.COM,BitFury
365633,-3010,1437094712233,1437094715243,1437095220757,-2,BW.COM,F2Pool,BitFury
365638,-6987,1437096828298,1437096835285,1437097506083,-2,BitFury,Telco 214,F2Pool
365643,-5403,1437100405595,1437100410998,1437102169136,-11,BitFury,AntPool,KnCMiner
365674,-2827,1437117779398,1437117782225,1437118160325,-3,BW.COM,AntPool,F2Pool
366019,3892,1437310872235,1437310868343,1437312839062,13,AntPool,21 Inc.,BTCC Pool
366475,408,1437588981257,1437588980849,1437589073078,0,AntPool,AntPool,BTCC Pool
366544,-6234,1437624995226,1437625001460,1437625080880,-1997,BW.COM,BitFury,F2Pool
366625,-7804,1437677075115,1437677082919,1437677136459,-22,BitFury,Eligius,SlushPool
366658,4466,1437697313514,1437697309048,1437698288382,1460,Eligius,BW.COM,Eligius
367199,-4360,1438002005274,1438002009634,1438002350427,-623,BTCC Pool,BitFury,BW.COM
367215,5090,1438012920071,1438012914981,1438012986701,4,F2Pool,BitFury,F2Pool
367222,-6470,1438015062214,1438015068684,1438015322784,-55,BitFury,AntPool,21 Inc.
367294,-1734,1438050551815,1438050553549,1438051422012,-130,F2Pool,Telco 214,AntPool
367490,5207,1438172192450,1438172187243,1438172263000,2,BTCC Pool,BitFury,F2Pool
379584,2903,1445247346767,1445247343864,1445247444721,2,F2Pool,BitFury,F2Pool
379709,-2839,1445318334549,1445318337388,1445318969972,-131,Solo CKPool,SlushPool,SlushPool
379731,-4390,1445334083153,1445334087543,1445334305592,-2,BitFury,BTCC Pool,BitFury
379735,1028041,1445337878992,1445336850951,1445337448940,3438,AntPool,SlushPool,AntPool
381084,-4052,1446129148730,1446129152782,1446129311134,-91,F2Pool,AntPool,BW.COM
381755,-6267,1446497748240,1446497754507,1446498719016,-372,BTCC Pool,SlushPool,F2Pool
381774,1408,1446507651149,1446507649741,1446508673521,3,F2Pool,myBTCcoin Pool,BTCC Pool
381788,325,1446513181349,1446513181024,1446513430580,18,BTCC Pool,KnCMiner,F2Pool
381822,-5765,1446533299074,1446533304839,1446534819656,-133,BitFury,21 Inc.,BTCC Pool
381905,-12170,1446579400655,1446579412825,1446580141570,-79,BitClub Network,F2Pool,21 Inc.
381973,-2068,1446619743535,1446619745603,1446619897326,-4,AntPool,AntPool,F2Pool
382163,2022,1446730344284,1446730342262,1446731164124,2,BitFury,AntPool,F2Pool
382226,-44644,1446763962568,1446764007212,1446766894870,-2914,F2Pool,BitFury,AntPool
382487,-5724,1446915851305,1446915857029,1446916050073,-87,F2Pool,BTCC Pool,GHash.IO
382649,7734,1447011403080,1447011395346,1447011568227,61,BitFury,SlushPool,BitFury
382806,-18803,1447107645057,1447107663860,1447108252533,-2606,KnCMiner,AntPool,BitFury
382819,-8862,1447114683538,1447114692400,1447114922849,-1257,AntPool,AntPool,BitFury
382837,-271,1447126952465,1447126952736,1447127121482,-2,BTCC Pool,BitFury,F2Pool
383073,813,1447250449740,1447250448927,1447250490076,22,F2Pool,Solo CKPool,F2Pool
383105,-9646,1447268594687,1447268604333,1447268994528,-403,Telco 214,BitFury,AntPool
