block height of fork,diff,winner_timestamp,loser_timestamp,next_block_timestamp,number of peers that have announced first block before the first reception of the second block,winner_id,loser_id,next_block_id
365357,-1456,1436929185.567,1436929187.023,1436929513.627,-2,BitFury,21 Inc.,KnCMiner
365474,-2496,1436988360.822,1436988363.318,1436988525.431,-17,F2Pool,Telco 214,KnCMiner
365570,-28365,1437053371.717,1437053400.082,1437054583.43,-31,BitFury,BW.COM,BitFury
365633,-3010,1437094712.233,1437094715.243,1437095220.757,-2,BW.COM,F2Pool,BitFury
365638,-6987,1437096828.298,1437096835.285,1437097506.083,-2,BitFury,Telco 214,F2Pool
365643,-5403,1437100405.595,1437100410.998,1437102169.136,-11,BitFury,AntPool,KnCMiner
365674,-2827,1437117779.398,1437117782.225,1437118160.325,-3,BW.COM,AntPool,F2Pool
366019,3892,1437310872.235,1437310868.343,1437312839.062,13,AntPool,21 Inc.,BTCC Pool
366475,408,1437588981.257,1437588980.849,1437589073.078,0,AntPool,AntPool,BTCC Pool
366544,-6234,1437624995.226,1437625001.46,1437625080.88,-1997,BW.COM,BitFury,F2Pool
366625,-7804,1437677075.115,1437677082.919,1437677136.459,-22,BitFury,Eligius,SlushPool
366658,4466,1437697313.514,1437697309.048,1437698288.382,1460,Eligius,BW.COM,Eligius
367199,-4360,1438002005.274,1438002009.634,1438002350.427,-623,BTCC Pool,BitFury,BW.COM
367215,5090,1438012920.071,1438012914.981,1438012986.701,4,F2Pool,BitFury,F2Pool
367222,-6470,1438015062.214,1438015068.684,1438015322.784,-55,BitFury,AntPool,21 Inc.
367294,-1734,1438050551.815,1438050553.549,1438051422.012,-130,F2Pool,Telco 214,AntPool
367490,5207,1438172192.45,1438172187.243,1438172263.0,2,BTCC Pool,BitFury,F2Pool
379584,2903,1445247346.767,1445247343.864,1445247444.721,2,F2Pool,BitFury,F2Pool
379709,-2839,1445318334.549,1445318337.388,1445318969.972,-131,Solo CKPool,SlushPool,SlushPool
379731,-4390,1445334083.153,1445334087.543,1445334305.592,-2,BitFury,BTCC Pool,BitFury
379735,1028041,1445337878.992,1445336850.951,1445337448.94,3438,AntPool,SlushPool,AntPool
381084,-4052,1446129148.73,1446129152.782,1446129311.134,-91,F2Pool,AntPool,BW.COM
381755,-6267,1446497748.24,1446497754.507,1446498719.016,-372,BTCC Pool,SlushPool,F2Pool
381774,1408,1446507651.149,1446507649.741,1446508673.521,3,F2Pool,myBTCcoin Pool,BTCC Pool
381788,325,1446513181.349,1446513181.024,1446513430.58,18,BTCC Pool,KnCMiner,F2Pool
381822,-5765,1446533299.074,1446533304.839,1446534819.656,-133,BitFury,21 Inc.,BTCC Pool
381905,-12170,1446579400.655,1446579412.825,1446580141.57,-79,BitClub Network,F2Pool,21 Inc.
381973,-2068,1446619743.535,1446619745.603,1446619897.326,-4,AntPool,AntPool,F2Pool
382163,2022,1446730344.284,1446730342.262,1446731164.124,2,BitFury,AntPool,F2Pool
382226,-44644,1446763962.568,1446764007.212,1446766894.87,-2914,F2Pool,BitFury,AntPool
382487,-5724,1446915851.305,1446915857.029,1446916050.073,-87,F2Pool,BTCC Pool,GHash.IO
382649,7734,1447011403.08,1447011395.346,1447011568.227,61,BitFury,SlushPool,BitFury
382806,-18803,1447107645.057,1447107663.86,1447108252.533,-2606,KnCMiner,AntPool,BitFury
382819,-8862,1447114683.538,1447114692.4,1447114922.849,-1257,AntPool,AntPool,BitFury
