"DateTime","antpool","f2pool","foundryusapool","poolin","viabtc","btccom","binance","slushpool","huobi.pool","bitclub network","bitfury","bixin","btc.top","btcc pool","1thash&58coin","bw.com","others","unknown"
"2008-12-29 00:00:00",,,,,,,,,,,,,,,,,,1
"2009-01-05 00:00:00",,,,,,,,,,,,,,,,,,168
"2009-01-12 00:00:00",,,,,,,,,,,,,,,,,,796
"2009-01-19 00:00:00",,,,,,,,,,,,,,,,,,898
"2009-01-26 00:00:00",,,,,,,,,,,,,,,,,,794
"2009-02-02 00:00:00",,,,,,,,,,,,,,,,,,895
"2009-02-09 00:00:00",,,,,,,,,,,,,,,,,,894
"2009-02-16 00:00:00",,,,,,,,,,,,,,,,,,838
"2009-02-23 00:00:00",,,,,,,,,,,,,,,,,,745
"2009-03-02 00:00:00",,,,,,,,,,,,,,,,,,770
"2009-03-09 00:00:00",,,,,,,,,,,,,,,,,,793
"2009-03-16 00:00:00",,,,,,,,,,,,,,,,,,758
"2009-03-23 00:00:00",,,,,,,,,,,,,,,,,,810
"2009-03-30 00:00:00",,,,,,,,,,,,,,,,,,818
"2009-04-06 00:00:00",,,,,,,,,,,,,,,,,,759
"2009-04-13 00:00:00",,,,,,,,,,,,,,,,,,832
"2009-04-20 00:00:00",,,,,,,,,,,,,,,,,,783
"2009-04-27 00:00:00",,,,,,,,,,,,,,,,,,833
"2009-05-04 00:00:00",,,,,,,,,,,,,,,,,,790
"2009-05-11 00:00:00",,,,,,,,,,,,,,,,,,882
"2009-05-18 00:00:00",,,,,,,,,,,,,,,,,,599
"2009-05-25 00:00:00",,,,,,,,,,,,,,,,,,759
"2009-06-01 00:00:00",,,,,,,,,,,,,,,,,,393
"2009-06-08 00:00:00",,,,,,,,,,,,,,,,,,580
"2009-06-15 00:00:00",,,,,,,,,,,,,,,,,,560
"2009-06-22 00:00:00",,,,,,,,,,,,,,,,,,535
"2009-06-29 00:00:00",,,,,,,,,,,,,,,,,,575
"2009-07-06 00:00:00",,,,,,,,,,,,,,,,,,554
"2009-07-13 00:00:00",,,,,,,,,,,,,,,,,,384
"2009-07-20 00:00:00",,,,,,,,,,,,,,,,,,414
"2009-07-27 00:00:00",,,,,,,,,,,,,,,,,,217
"2009-08-03 00:00:00",,,,,,,,,,,,,,,,,,531
"2009-08-10 00:00:00",,,,,,,,,,,,,,,,,,401
"2009-08-17 00:00:00",,,,,,,,,,,,,,,,,,103
"2009-08-24 00:00:00",,,,,,,,,,,,,,,,,,392
"2009-08-31 00:00:00",,,,,,,,,,,,,,,,,,499
"2009-09-07 00:00:00",,,,,,,,,,,,,,,,,,479
"2009-09-14 00:00:00",,,,,,,,,,,,,,,,,,504
"2009-09-21 00:00:00",,,,,,,,,,,,,,,,,,505
"2009-09-28 00:00:00",,,,,,,,,,,,,,,,,,523
"2009-10-05 00:00:00",,,,,,,,,,,,,,,,,,458
"2009-10-12 00:00:00",,,,,,,,,,,,,,,,,,446
"2009-10-19 00:00:00",,,,,,,,,,,,,,,,,,604
"2009-10-26 00:00:00",,,,,,,,,,,,,,,,,,378
"2009-11-02 00:00:00",,,,,,,,,,,,,,,,,,419
"2009-11-09 00:00:00",,,,,,,,,,,,,,,,,,527
"2009-11-16 00:00:00",,,,,,,,,,,,,,,,,,603
"2009-11-23 00:00:00",,,,,,,,,,,,,,,,,,568
"2009-11-30 00:00:00",,,,,,,,,,,,,,,,,,533
"2009-12-07 00:00:00",,,,,,,,,,,,,,,,,,753
"2009-12-14 00:00:00",,,,,,,,,,,,,,,,,,1115
"2009-12-21 00:00:00",,,,,,,,,,,,,,,,,,1135
"2009-12-28 00:00:00",,,,,,,,,,,,,,,,,,1031
"2010-01-04 00:00:00",,,,,,,,,,,,,,,,,,1190
"2010-01-11 00:00:00",,,,,,,,,,,,,,,,,,1022
"2010-01-18 00:00:00",,,,,,,,,,,,,,,,,,1029
"2010-01-25 00:00:00",,,,,,,,,,,,,,,,,,1319
"2010-02-01 00:00:00",,,,,,,,,,,,,,,,,,1460
"2010-02-08 00:00:00",,,,,,,,,,,,,,,,,,1367
